Algorithm, Start Point,End Point,Time Taken(ms),Number of Nodes Visited , E Value, Path Length
I-ARA*,C :35 R: 13,C :35 R: 35,-858993472.000000,0,1,23

I-ARA*,C :35 R: 14,C :35 R: 35,0.000000,0,3,22
I-ARA*,C :35 R: 14,C :35 R: 35,0.000000,0,2,22
I-ARA*,C :35 R: 14,C :35 R: 35,-858993472.000000,0,1,22

I-ARA*,C :35 R: 15,C :35 R: 35,0.000000,0,3,21
I-ARA*,C :35 R: 15,C :35 R: 35,0.000000,0,2,21
I-ARA*,C :35 R: 15,C :35 R: 35,-858993472.000000,0,1,21

I-ARA*,C :35 R: 16,C :35 R: 35,0.000000,0,3,20
I-ARA*,C :35 R: 16,C :35 R: 35,0.000000,0,2,20
I-ARA*,C :35 R: 16,C :35 R: 35,-858993472.000000,0,1,20

I-ARA*,C :35 R: 17,C :35 R: 35,0.000000,0,3,19
I-ARA*,C :35 R: 17,C :35 R: 35,0.000000,0,2,19
I-ARA*,C :35 R: 17,C :35 R: 35,-858993472.000000,0,1,19

I-ARA*,C :35 R: 18,C :35 R: 35,0.000000,0,3,18
I-ARA*,C :35 R: 18,C :35 R: 35,0.000000,0,2,18
I-ARA*,C :35 R: 18,C :35 R: 35,-858993472.000000,0,1,18

I-ARA*,C :35 R: 19,C :35 R: 35,0.000000,0,3,17
I-ARA*,C :35 R: 19,C :35 R: 35,0.000000,0,2,17
I-ARA*,C :35 R: 19,C :35 R: 35,-858993472.000000,0,1,17

I-ARA*,C :35 R: 20,C :35 R: 35,0.000000,0,3,16
I-ARA*,C :35 R: 20,C :35 R: 35,0.000000,0,2,16
I-ARA*,C :35 R: 20,C :35 R: 35,-858993472.000000,0,1,16

I-ARA*,C :35 R: 21,C :35 R: 35,0.000000,0,3,15
I-ARA*,C :35 R: 21,C :35 R: 35,0.000000,0,2,15
I-ARA*,C :35 R: 21,C :35 R: 35,-858993472.000000,0,1,15

I-ARA*,C :35 R: 22,C :35 R: 35,0.000000,0,3,14
I-ARA*,C :35 R: 22,C :35 R: 35,0.000000,0,2,14
I-ARA*,C :35 R: 22,C :35 R: 35,-858993472.000000,0,1,14

I-ARA*,C :35 R: 23,C :35 R: 35,0.000000,0,3,13
I-ARA*,C :35 R: 23,C :35 R: 35,0.000000,0,2,13
I-ARA*,C :35 R: 23,C :35 R: 35,-858993472.000000,0,1,13

I-ARA*,C :35 R: 24,C :35 R: 35,0.000000,0,3,12
I-ARA*,C :35 R: 24,C :35 R: 35,0.000000,0,2,12
I-ARA*,C :35 R: 24,C :35 R: 35,-858993472.000000,0,1,12

I-ARA*,C :35 R: 25,C :35 R: 35,0.000000,0,3,11
I-ARA*,C :35 R: 25,C :35 R: 35,0.000000,0,2,11
I-ARA*,C :35 R: 25,C :35 R: 35,-858993472.000000,0,1,11

I-ARA*,C :35 R: 26,C :35 R: 35,0.000000,0,3,10
I-ARA*,C :35 R: 26,C :35 R: 35,0.000000,0,2,10
I-ARA*,C :35 R: 26,C :35 R: 35,-858993472.000000,0,1,10

I-ARA*,C :35 R: 27,C :35 R: 35,0.000000,0,3,9
I-ARA*,C :35 R: 27,C :35 R: 35,0.000000,0,2,9
I-ARA*,C :35 R: 27,C :35 R: 35,-858993472.000000,0,1,9

I-ARA*,C :35 R: 28,C :35 R: 35,0.000000,0,3,8
I-ARA*,C :35 R: 28,C :35 R: 35,0.000000,0,2,8
I-ARA*,C :35 R: 28,C :35 R: 35,-858993472.000000,0,1,8

I-ARA*,C :35 R: 29,C :35 R: 35,0.000000,0,3,7
I-ARA*,C :35 R: 29,C :35 R: 35,0.000000,0,2,7
I-ARA*,C :35 R: 29,C :35 R: 35,-858993472.000000,0,1,7

I-ARA*,C :35 R: 30,C :35 R: 35,0.000000,0,3,6
I-ARA*,C :35 R: 30,C :35 R: 35,0.000000,0,2,6
I-ARA*,C :35 R: 30,C :35 R: 35,-858993472.000000,0,1,6

I-ARA*,C :35 R: 31,C :35 R: 35,0.000000,0,3,5
I-ARA*,C :35 R: 31,C :35 R: 35,0.000000,0,2,5
I-ARA*,C :35 R: 31,C :35 R: 35,-858993472.000000,0,1,5

I-ARA*,C :35 R: 32,C :35 R: 35,0.000000,0,3,4
I-ARA*,C :35 R: 32,C :35 R: 35,0.000000,0,2,4
I-ARA*,C :35 R: 32,C :35 R: 35,-858993472.000000,0,1,4

I-ARA*,C :35 R: 33,C :35 R: 35,0.000000,0,3,3
I-ARA*,C :35 R: 33,C :35 R: 35,0.000000,0,2,3
I-ARA*,C :35 R: 33,C :35 R: 35,-858993472.000000,0,1,3

I-ARA*,C :35 R: 34,C :35 R: 35,0.000000,0,3,2
I-ARA*,C :35 R: 34,C :35 R: 35,0.000000,0,2,2
I-ARA*,C :35 R: 34,C :35 R: 35,-858993472.000000,0,1,2

